book,pericope_id,pericope_name,ix,pos_N,number_S,case_G,case_N,gender_F,gender_M,count_ἑαυτοῦ,count_ἄν,count_ἀλλά,count_ἀπό,count_ἄρα,count_δέ,count_δή,count_διά,count_ἔτι,count_ἐγώ,count_ἐκ,count_ἐν,count_ἐπί,count_εἰ,count_γάρ,count_ἤ,count_καί,count_κατά,count_μέν,count_μετά,count_μή,count_ὁ,count_ὅδε,count_ὅτι,count_οὔτε,count_οὖν,count_οὐ,count_οὐδέ,count_περί,count_σύ,count_σύν,count_ὑπέρ,count_ὑπό,count_ὦ,count_ὥστε,count_ἐάν,count_παρά,count_πάλιν,count_αὐτός,count_υἱός,count_ἡμέρα,count_σήμερον,count_αὔριον,count_Ἰησοῦς,count_πατήρ,count_κύριος,count_ἀμήν,count_Χριστός,count_θεός,avg_word_length,unique_word_ratio,stop_words_ratio,is_dialog,capitalized_words,substring_comma,substring_dot,substring_median,substring_kai,avg_len_comma,avg_len_dot,avg_len_median,nbr_words,pos_RA,gender_N,pos_D,pos_P,pos_RP,pos_V,pos_A,pos_C,pos_RR,person_3,person_2,tense_X,tense_A,active_P,active_M,active_A,mode_P,mode_S,mode_I,mode_N,number_P,case_D,case_V,case_A,pos_RD,person_1,tense_P,tense_I,pos_X,pos_RI,tense_F,mode_D,mode_O,tense_Y,pos_I,source,genre,synoptic
Mt,1,Prologue,1|Prologue|Mt,8.0,8.0,7.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.5,0.8,0.4,0,4,0,1,0,0,0.0,4.5,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matthean,misc,True
Mk,1,Prologue,1|Prologue|Mk,4.0,5.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.8571428571428571,0.42857142857142855,0,2,0,1,0,0,0.0,3.0,0.0,7,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mark,misc,True
Lk,1,Prologue,1|Prologue|Lk,9.0,14.0,8.0,5.0,4.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9787234042553195,0.7872340425531915,0.2553191489361702,0,1,5,1,0,0,8.4,23.0,0.0,47,4.0,4.0,3.0,4.0,4.0,10.0,3.0,4.0,1.0,3.0,2.0,2.0,8.0,2.0,2.0,6.0,3.0,1.0,4.0,2.0,15.0,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lucean,misc,True
Lk,2,The Promise of the Birth of John the Baptist,2|The Promise of the Birth of John the Baptist|Lk,95.0,215.0,69.0,70.0,63.0,116.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,6.0,4.0,13.0,4.0,0.0,2.0,0.0,34.0,2.0,0.0,1.0,3.0,50.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,7.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,4.2406015037593985,0.38095238095238093,0.46365914786967416,5,17,26,12,11,2,15.192307692307692,29.76923076923077,35.63636363636363,399,50.0,34.0,10.0,37.0,38.0,73.0,16.0,47.0,4.0,39.0,4.0,7.0,32.0,10.0,15.0,48.0,16.0,2.0,44.0,10.0,57.0,42.0,1.0,43.0,4.0,4.0,12.0,11.0,1.0,2.0,11.0,1.0,0.0,0.0,0.0,lucean,narrative,True
Lk,3,The Annunciation,3|The Annunciation|Lk,59.0,155.0,28.0,53.0,35.0,68.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,1.0,0.0,18.0,1.0,0.0,1.0,1.0,29.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,4.0358744394618835,0.4080717488789238,0.452914798206278,9,13,14,8,11,0,15.714285714285714,24.0,19.818181818181817,223,29.0,18.0,7.0,18.0,17.0,36.0,9.0,24.0,2.0,23.0,6.0,3.0,12.0,9.0,9.0,18.0,6.0,0.0,26.0,0.0,2.0,22.0,2.0,22.0,4.0,1.0,7.0,1.0,3.0,1.0,13.0,2.0,2.0,0.0,0.0,lucean,narrative,True
Lk,4,Mary's Visit to Elizabeth,4|Mary's Visit to Elizabeth|Lk,58.0,144.0,41.0,40.0,55.0,53.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,6.0,2.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,39.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.047808764940239,0.43824701195219123,0.4342629482071713,2,11,17,8,6,0,14.294117647058824,27.0,41.0,251,39.0,24.0,4.0,22.0,26.0,38.0,13.0,28.0,0.0,29.0,0.0,3.0,29.0,6.0,6.0,26.0,8.0,1.0,28.0,1.0,31.0,29.0,0.0,36.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,lucean,narrative,True
Lk,5,The Birth of John the Baptist,5|The Birth of John the Baptist|Lk,81.0,181.0,73.0,50.0,51.0,98.0,0.0,1.0,1.0,1.0,1.0,5.0,0.0,2.0,0.0,10.0,5.0,9.0,2.0,0.0,2.0,0.0,27.0,0.0,0.0,3.0,0.0,44.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.0,3.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,4.102564102564102,0.3789173789173789,0.46153846153846156,10,10,25,13,5,0,13.6,24.214285714285715,69.6,351,44.0,43.0,5.0,29.0,40.0,60.0,20.0,38.0,3.0,36.0,2.0,0.0,33.0,12.0,8.0,40.0,11.0,0.0,37.0,11.0,61.0,41.0,1.0,39.0,3.0,0.0,13.0,9.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,lucean,narrative,True
Mt,6,The Genealogy of Jesus,6|The Genealogy of Jesus|Mt,106.0,197.0,28.0,52.0,30.0,140.0,0.0,0.0,0.0,3.0,0.0,38.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,56.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.9014084507042255,0.24295774647887325,0.40492957746478875,1,94,40,4,0,0,6.725,56.2,0.0,284,56.0,0.0,0.0,13.0,2.0,41.0,4.0,44.0,1.0,40.0,0.0,0.0,40.0,2.0,0.0,39.0,1.0,0.0,40.0,0.0,13.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,matthean,misc,True
Lk,6,The Genealogy of Jesus,6|The Genealogy of Jesus|Lk,80.0,160.0,155.0,5.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.956043956043956,0.43956043956043955,0.45054945054945056,0,77,4,1,0,0,45.0,90.5,0.0,182,76.0,2.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lucean,misc,True
Mt,7,The Birth of Jesus,7|The Birth of Jesus|Mt,40.0,112.0,35.0,30.0,23.0,53.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,1.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,4.1117647058823525,0.4588235294117647,0.4764705882352941,6,12,8,6,7,0,21.0,23.571428571428573,23.571428571428573,170,20.0,20.0,6.0,12.0,19.0,36.0,4.0,18.0,2.0,19.0,2.0,1.0,19.0,11.0,2.0,23.0,11.0,2.0,19.0,4.0,7.0,7.0,1.0,25.0,2.0,0.0,8.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,matthean,narrative,True
